ID_Participant,Satisfaction_Generale,Qualite_Sessions,Organisation,Recommandation,Commentaires,Sessions_Preferees,Ameliorations_Suggerees,Interet_Prochaine_Edition
1,2,1,3,Oui,"Trop de monde, difficile de circuler.",S5;S3,Prévoir des salles plus grandes.,Non
2,5,5,2,Oui,"Bonne organisation, sujets pertinents.",S1,Ajouter plus d'ateliers pratiques.,Peut-être
3,4,3,1,Non,Manque de diversité dans les sujets proposés.,S1,Limiter le nombre de participants.,Non
4,5,5,1,Peut-être,Horaires des sessions mal adaptés.,S3;S1,Améliorer les équipements audio-visuels.,Oui
5,3,2,4,Non,Intervenants pas assez disponibles pour les questions.,S5;S4,Proposer une application mobile pour l'événement.,Peut-être
6,2,5,4,Non,Communication en amont insuffisante.,S6,Proposer des sessions plus interactives.,Peut-être
7,5,4,4,Non,Une conférence inspirante avec des intervenants de qualité.,S6;S1,Améliorer la qualité du catering.,Oui
8,3,2,5,Non,"Organisation impeccable, bravo à l'équipe.",S2;S6;S4,Mieux gérer les files d'attente.,Non
9,5,1,4,Oui,Communication en amont insuffisante.,S3,Proposer une application mobile pour l'événement.,Non
10,3,5,4,Non,Animations interactives très appréciées.,S1,Proposer des sessions plus interactives.,Peut-être
11,1,5,1,Peut-être,"Super expérience, hâte de revenir l'année prochaine !",S6,Améliorer les équipements audio-visuels.,Peut-être
12,2,1,2,Oui,Communication en amont insuffisante.,S4;S6,Offrir plus de diversité dans les sujets.,Non
13,1,5,4,Non,"Organisation impeccable, bravo à l'équipe.",S3,Améliorer les équipements audio-visuels.,Non
14,5,1,4,Peut-être,"Trop de monde, difficile de circuler.",S1,Améliorer les équipements audio-visuels.,Non
15,3,2,2,Oui,Lieu de la conférence difficile d'accès.,S6;S5;S4,Mieux gérer les files d'attente.,Oui
16,4,4,3,Oui,"Organisation impeccable, bravo à l'équipe.",S5;S1;S3,Ajouter plus d'ateliers pratiques.,Non
17,1,2,2,Peut-être,Ambiance conviviale et professionnelle.,S1;S5;S3,Inclure des sessions en anglais.,Peut-être
18,4,1,3,Non,Difficultés techniques pendant les présentations.,S5;S4,Améliorer la signalisation sur place.,Peut-être
19,4,5,3,Oui,Bon équilibre entre théorie et pratique.,S5;S3;S2,Améliorer les équipements audio-visuels.,Non
20,1,1,3,Oui,"Excellentes sessions, orateurs très compétents.",S5;S4;S2,Faciliter l'accès au lieu de la conférence.,Oui
21,5,3,3,Oui,Intervenants pas assez disponibles pour les questions.,S4;S1;S5,Mieux gérer les files d'attente.,Oui
22,3,1,2,Non,"Excellentes sessions, orateurs très compétents.",S5;S6,Mieux gérer les files d'attente.,Oui
23,5,5,1,Non,Sessions trop courtes pour approfondir les sujets.,S3,Proposer une application mobile pour l'événement.,Peut-être
24,2,3,1,Oui,Catering de qualité moyenne.,S4,Faciliter l'accès au lieu de la conférence.,Non
25,3,5,2,Oui,Horaires des sessions mal adaptés.,S5,Prévoir des salles plus grandes.,Oui
26,4,3,5,Peut-être,"Bonne organisation, sujets pertinents.",S5;S3,Proposer des sessions plus interactives.,Oui
27,4,4,2,Non,"Excellentes sessions, orateurs très compétents.",S2,Proposer des sessions plus interactives.,Non
28,1,5,3,Peut-être,Manque de diversité dans les sujets proposés.,S1;S2;S3,Offrir plus de diversité dans les sujets.,Oui
29,4,2,5,Oui,Excellente opportunité de networking.,S3,Proposer une application mobile pour l'événement.,Peut-être
30,1,3,3,Non,Bon équilibre entre théorie et pratique.,S4,Prévoir des salles plus grandes.,Oui
31,1,1,3,Non,Lieu de la conférence difficile d'accès.,S1;S6,Prévoir des salles plus grandes.,Oui
32,3,2,5,Non,Catering de qualité moyenne.,S5;S2,Mieux gérer les files d'attente.,Non
33,5,5,3,Non,"Trop de monde, difficile de circuler.",S2;S5;S6,Améliorer les équipements audio-visuels.,Peut-être
34,2,2,4,Peut-être,Manque de diversité dans les sujets proposés.,S6,Communiquer le programme plus tôt.,Oui
35,1,4,3,Peut-être,Manque de diversité dans les sujets proposés.,S5;S2;S1,Améliorer la qualité du catering.,Oui
36,4,2,5,Peut-être,"Les sujets étaient intéressants, mais la salle était trop petite.",S3;S2,Proposer une application mobile pour l'événement.,Non
37,5,5,5,Non,"Bonne organisation, sujets pertinents.",S3;S1;S5,Prévoir des salles plus grandes.,Oui
38,5,2,2,Peut-être,Difficultés techniques pendant les présentations.,S4;S2,Ajouter plus d'ateliers pratiques.,Peut-être
39,2,1,3,Peut-être,Horaires des sessions mal adaptés.,S3,Inclure des sessions en anglais.,Oui
40,3,1,1,Oui,"Super expérience, hâte de revenir l'année prochaine !",S1,Ajouter des pauses plus longues entre les sessions.,Peut-être
41,1,3,4,Oui,"Bonne organisation, sujets pertinents.",S3,Mieux gérer les files d'attente.,Oui
42,1,5,2,Oui,Bon équilibre entre théorie et pratique.,S5;S2,Faciliter l'accès au lieu de la conférence.,Peut-être
43,1,3,1,Oui,Horaires des sessions mal adaptés.,S3,Proposer une application mobile pour l'événement.,Oui
44,4,1,5,Non,Animations interactives très appréciées.,S3,Offrir plus de diversité dans les sujets.,Peut-être
45,2,1,4,Non,"Trop de monde, difficile de circuler.",S5,Améliorer les équipements audio-visuels.,Oui
46,2,1,1,Peut-être,Communication en amont insuffisante.,S2;S3;S6,Mieux gérer les files d'attente.,Non
47,2,2,1,Peut-être,Intervenants pas assez disponibles pour les questions.,S6;S3,Prévoir plus de temps pour les questions.,Peut-être
48,1,1,2,Non,Intervenants pas assez disponibles pour les questions.,S3;S4,Proposer une application mobile pour l'événement.,Oui
49,4,1,1,Oui,Animations interactives très appréciées.,S3;S4;S1,Limiter le nombre de participants.,Oui
50,3,1,4,Peut-être,Une conférence inspirante avec des intervenants de qualité.,S5;S4,Prévoir des salles plus grandes.,Oui
51,1,5,3,Oui,Communication en amont insuffisante.,S2;S1,Proposer une application mobile pour l'événement.,Peut-être
52,5,1,3,Peut-être,Intervenants pas assez disponibles pour les questions.,S5,Ajouter plus d'ateliers pratiques.,Peut-être
53,3,5,1,Non,Bon équilibre entre théorie et pratique.,S1,Communiquer le programme plus tôt.,Peut-être
54,2,1,2,Peut-être,Une conférence inspirante avec des intervenants de qualité.,S2,Offrir plus de diversité dans les sujets.,Peut-être
55,4,2,3,Oui,Horaires des sessions mal adaptés.,S5;S4,Améliorer les équipements audio-visuels.,Oui
56,4,2,1,Peut-être,"Les sujets étaient intéressants, mais la salle était trop petite.",S6;S4;S2,Mieux gérer les files d'attente.,Peut-être
57,5,3,4,Non,Ambiance conviviale et professionnelle.,S4;S3;S5,Prévoir des salles plus grandes.,Peut-être
58,1,2,3,Peut-être,Manque de diversité dans les sujets proposés.,S1;S6;S3,Inclure des sessions en anglais.,Peut-être
59,5,1,2,Oui,"Bonne organisation, sujets pertinents.",S2,Proposer des sessions plus interactives.,Peut-être
60,4,3,3,Non,Excellente opportunité de networking.,S2;S4,Améliorer les équipements audio-visuels.,Peut-être
61,5,3,4,Peut-être,Intervenants pas assez disponibles pour les questions.,S6;S1,Limiter le nombre de participants.,Oui
62,5,1,5,Non,Manque de diversité dans les sujets proposés.,S5;S2;S4,Améliorer la signalisation sur place.,Non
63,2,4,2,Oui,Horaires des sessions mal adaptés.,S6,Prévoir des salles plus grandes.,Oui
64,3,5,3,Oui,"Super expérience, hâte de revenir l'année prochaine !",S3,Inclure des sessions en anglais.,Peut-être
65,1,1,3,Non,"Bonne organisation, sujets pertinents.",S6,Proposer des sessions plus interactives.,Peut-être
66,4,2,1,Oui,Manque de diversité dans les sujets proposés.,S1,Communiquer le programme plus tôt.,Peut-être
67,2,4,5,Oui,Communication en amont insuffisante.,S1;S3;S2,Communiquer le programme plus tôt.,Oui
68,1,2,4,Non,Horaires des sessions mal adaptés.,S2;S5;S6,Prévoir des salles plus grandes.,Non
69,4,5,4,Non,"Super expérience, hâte de revenir l'année prochaine !",S1;S3;S4,Proposer une application mobile pour l'événement.,Non
70,2,1,2,Oui,Animations interactives très appréciées.,S6;S2,Offrir plus de diversité dans les sujets.,Non
71,5,3,5,Non,Ambiance conviviale et professionnelle.,S6,Améliorer la qualité du catering.,Peut-être
72,5,5,1,Oui,"Bonne organisation, sujets pertinents.",S2,Proposer une application mobile pour l'événement.,Oui
73,3,3,3,Oui,Une conférence inspirante avec des intervenants de qualité.,S2,Communiquer le programme plus tôt.,Peut-être
74,4,2,5,Non,"Trop de monde, difficile de circuler.",S4;S5;S3,Proposer des sessions plus interactives.,Non
75,5,2,1,Non,"Trop de monde, difficile de circuler.",S1;S2,Proposer une application mobile pour l'événement.,Peut-être
76,5,2,2,Non,Manque de diversité dans les sujets proposés.,S4;S6,Inclure des sessions en anglais.,Oui
77,3,3,5,Oui,Manque de diversité dans les sujets proposés.,S3,Offrir plus de diversité dans les sujets.,Peut-être
78,5,1,4,Non,"Bonne organisation, sujets pertinents.",S3;S4;S2,Ajouter plus d'ateliers pratiques.,Peut-être
79,5,4,5,Non,"Bonne organisation, sujets pertinents.",S5;S6,Prévoir plus de temps pour les questions.,Non
80,1,2,4,Non,Intervenants pas assez disponibles pour les questions.,S4;S3,Prévoir des salles plus grandes.,Oui
81,3,4,3,Non,"Organisation impeccable, bravo à l'équipe.",S6;S4;S1,Prévoir plus de temps pour les questions.,Oui
82,5,2,2,Peut-être,Bon équilibre entre théorie et pratique.,S5,Prévoir plus de temps pour les questions.,Peut-être
83,3,4,4,Oui,Horaires des sessions mal adaptés.,S1,Mieux gérer les files d'attente.,Non
84,5,4,4,Peut-être,Excellente opportunité de networking.,S6;S5,Inclure des sessions en anglais.,Non
85,1,4,2,Peut-être,"Bonne organisation, sujets pertinents.",S6,Faciliter l'accès au lieu de la conférence.,Non
86,3,3,2,Oui,Difficultés techniques pendant les présentations.,S3;S1,Faciliter l'accès au lieu de la conférence.,Oui
87,2,4,3,Non,Horaires des sessions mal adaptés.,S6,Limiter le nombre de participants.,Non
88,4,3,5,Oui,Intervenants pas assez disponibles pour les questions.,S5;S1;S2,Améliorer la qualité du catering.,Peut-être
89,1,5,2,Non,"Excellentes sessions, orateurs très compétents.",S3,Proposer des sessions plus interactives.,Peut-être
90,3,1,3,Non,Contenu intéressant mais organisation à améliorer.,S2;S4,Faciliter l'accès au lieu de la conférence.,Non
91,1,2,1,Non,Sessions trop courtes pour approfondir les sujets.,S6;S4;S1,Inclure des sessions en anglais.,Non
92,2,3,1,Oui,"Les sujets étaient intéressants, mais la salle était trop petite.",S4;S2;S3,Communiquer le programme plus tôt.,Oui
93,3,3,1,Non,Catering de qualité moyenne.,S2;S1,Ajouter des pauses plus longues entre les sessions.,Peut-être
94,2,1,3,Peut-être,Difficultés techniques pendant les présentations.,S5;S1;S2,Limiter le nombre de participants.,Peut-être
95,2,3,4,Peut-être,"Bonne organisation, sujets pertinents.",S5;S1,Limiter le nombre de participants.,Oui
96,2,3,4,Non,Sessions trop courtes pour approfondir les sujets.,S6;S4;S2,Proposer une application mobile pour l'événement.,Non
97,1,4,4,Non,Sessions trop courtes pour approfondir les sujets.,S4,Inclure des sessions en anglais.,Oui
98,5,1,4,Oui,Animations interactives très appréciées.,S5;S1;S2,Prévoir des salles plus grandes.,Peut-être
99,4,5,2,Oui,"Super expérience, hâte de revenir l'année prochaine !",S2;S1,Offrir plus de diversité dans les sujets.,Non
100,1,4,1,Peut-être,Lieu de la conférence difficile d'accès.,S6;S5,Faciliter l'accès au lieu de la conférence.,Oui
101,3,3,1,Peut-être,Excellente opportunité de networking.,S4;S5,Limiter le nombre de participants.,Non
102,1,3,4,Peut-être,Animations interactives très appréciées.,S5,Améliorer les équipements audio-visuels.,Non
103,5,2,3,Non,Manque de diversité dans les sujets proposés.,S1,Prévoir plus de temps pour les questions.,Peut-être
104,5,4,3,Peut-être,"Bonne organisation, sujets pertinents.",S3,Communiquer le programme plus tôt.,Non
105,5,5,2,Non,Bon équilibre entre théorie et pratique.,S6;S5;S2,Proposer une application mobile pour l'événement.,Oui
106,1,5,3,Peut-être,Ambiance conviviale et professionnelle.,S6,Améliorer les équipements audio-visuels.,Oui
107,3,5,1,Peut-être,Difficultés techniques pendant les présentations.,S4;S1,Prévoir des salles plus grandes.,Non
108,1,5,1,Oui,Contenu intéressant mais organisation à améliorer.,S1;S2,Améliorer les équipements audio-visuels.,Non
109,1,1,4,Oui,Sessions trop courtes pour approfondir les sujets.,S1;S4;S3,Offrir plus de diversité dans les sujets.,Non
110,1,2,4,Peut-être,Une conférence inspirante avec des intervenants de qualité.,S6;S3,Limiter le nombre de participants.,Non
111,3,1,2,Oui,Intervenants pas assez disponibles pour les questions.,S5,Offrir plus de diversité dans les sujets.,Oui
112,1,5,4,Non,Intervenants pas assez disponibles pour les questions.,S3;S5,Proposer une application mobile pour l'événement.,Peut-être
113,4,1,5,Peut-être,Difficultés techniques pendant les présentations.,S4,Améliorer les équipements audio-visuels.,Non
114,5,3,4,Non,Manque de diversité dans les sujets proposés.,S3,Prévoir plus de temps pour les questions.,Oui
115,2,3,3,Peut-être,Excellente opportunité de networking.,S3;S2;S6,Améliorer la signalisation sur place.,Non
116,4,3,3,Oui,"Organisation impeccable, bravo à l'équipe.",S3;S6,Améliorer les équipements audio-visuels.,Oui
117,5,1,5,Peut-être,Horaires des sessions mal adaptés.,S6;S5;S4,Proposer des sessions plus interactives.,Non
118,4,2,2,Oui,Une conférence inspirante avec des intervenants de qualité.,S1;S6;S4,Proposer des sessions plus interactives.,Oui
119,5,3,3,Peut-être,Communication en amont insuffisante.,S1;S6,Faciliter l'accès au lieu de la conférence.,Oui
120,2,1,4,Oui,Difficultés techniques pendant les présentations.,S2;S1,Améliorer les équipements audio-visuels.,Non
121,1,1,4,Non,"Excellentes sessions, orateurs très compétents.",S1,Faciliter l'accès au lieu de la conférence.,Non
122,4,3,2,Oui,"Bonne organisation, sujets pertinents.",S5;S1,Ajouter plus d'ateliers pratiques.,Peut-être
123,4,4,2,Oui,Ambiance conviviale et professionnelle.,S3;S1,Inclure des sessions en anglais.,Peut-être
124,3,3,5,Peut-être,Animations interactives très appréciées.,S2,Améliorer la qualité du catering.,Peut-être
125,5,4,4,Oui,Ambiance conviviale et professionnelle.,S1;S2;S6,Mieux gérer les files d'attente.,Peut-être
126,3,3,1,Oui,"Trop de monde, difficile de circuler.",S4;S6;S5,Limiter le nombre de participants.,Peut-être
127,1,3,2,Oui,"Trop de monde, difficile de circuler.",S3,Améliorer les équipements audio-visuels.,Peut-être
128,4,5,5,Non,Communication en amont insuffisante.,S6;S3,Limiter le nombre de participants.,Non
129,5,4,4,Peut-être,Catering de qualité moyenne.,S5;S3,Inclure des sessions en anglais.,Non
130,5,1,5,Non,Sessions trop courtes pour approfondir les sujets.,S5;S3;S1,Proposer des sessions plus interactives.,Non
131,1,1,1,Oui,Communication en amont insuffisante.,S5;S6,Proposer une application mobile pour l'événement.,Peut-être
132,2,4,3,Non,Manque de diversité dans les sujets proposés.,S1,Faciliter l'accès au lieu de la conférence.,Peut-être
133,1,5,5,Oui,"Trop de monde, difficile de circuler.",S6,Prévoir des salles plus grandes.,Oui
134,3,2,3,Non,Lieu de la conférence difficile d'accès.,S4;S2;S1,Prévoir plus de temps pour les questions.,Non
135,3,5,5,Peut-être,Difficultés techniques pendant les présentations.,S5;S6,Ajouter des pauses plus longues entre les sessions.,Oui
136,2,4,1,Non,Communication en amont insuffisante.,S6;S4;S1,Faciliter l'accès au lieu de la conférence.,Non
137,2,2,3,Non,Ambiance conviviale et professionnelle.,S5;S2,Améliorer la signalisation sur place.,Peut-être
138,2,4,3,Non,Excellente opportunité de networking.,S3,Ajouter des pauses plus longues entre les sessions.,Non
139,4,3,1,Non,Lieu de la conférence difficile d'accès.,S5,Limiter le nombre de participants.,Non
140,2,1,3,Non,Excellente opportunité de networking.,S3,Ajouter plus d'ateliers pratiques.,Oui
141,5,1,2,Peut-être,Manque de diversité dans les sujets proposés.,S1;S4;S3,Améliorer la qualité du catering.,Non
142,4,1,5,Peut-être,"Les sujets étaient intéressants, mais la salle était trop petite.",S6;S5;S1,Proposer des sessions plus interactives.,Non
143,3,3,4,Peut-être,"Trop de monde, difficile de circuler.",S6,Faciliter l'accès au lieu de la conférence.,Oui
144,5,5,3,Non,Horaires des sessions mal adaptés.,S5;S3,Proposer des sessions plus interactives.,Non
145,3,4,3,Non,"Super expérience, hâte de revenir l'année prochaine !",S4;S5,Inclure des sessions en anglais.,Non
146,3,5,1,Non,Contenu intéressant mais organisation à améliorer.,S1;S5,Limiter le nombre de participants.,Oui
147,5,4,3,Oui,Sessions trop courtes pour approfondir les sujets.,S5;S2,Améliorer les équipements audio-visuels.,Non
148,2,3,4,Oui,Sessions trop courtes pour approfondir les sujets.,S6;S5;S4,Prévoir plus de temps pour les questions.,Non
149,4,2,4,Peut-être,Manque de diversité dans les sujets proposés.,S5;S2,Proposer des sessions plus interactives.,Oui
150,3,3,3,Peut-être,Animations interactives très appréciées.,S5;S6,Améliorer la qualité du catering.,Peut-être
151,3,5,3,Non,Intervenants pas assez disponibles pour les questions.,S2;S3,Améliorer la qualité du catering.,Oui
152,3,4,1,Oui,Catering de qualité moyenne.,S4;S3,Proposer une application mobile pour l'événement.,Non
153,4,4,5,Oui,Lieu de la conférence difficile d'accès.,S6;S2;S3,Mieux gérer les files d'attente.,Non
154,4,4,1,Non,Sessions trop courtes pour approfondir les sujets.,S2,Offrir plus de diversité dans les sujets.,Peut-être
155,4,5,5,Oui,"Les sujets étaient intéressants, mais la salle était trop petite.",S4;S2,Communiquer le programme plus tôt.,Peut-être
156,5,5,2,Oui,Difficultés techniques pendant les présentations.,S2,Améliorer la signalisation sur place.,Peut-être
157,1,5,4,Oui,Contenu intéressant mais organisation à améliorer.,S4,Prévoir plus de temps pour les questions.,Non
158,4,5,2,Non,"Super expérience, hâte de revenir l'année prochaine !",S1;S3;S5,Améliorer la qualité du catering.,Peut-être
159,2,4,5,Peut-être,Ambiance conviviale et professionnelle.,S3;S1,Inclure des sessions en anglais.,Peut-être
160,2,5,4,Non,Catering de qualité moyenne.,S2;S1;S5,Proposer une application mobile pour l'événement.,Peut-être
161,5,2,1,Oui,Sessions trop courtes pour approfondir les sujets.,S5,Offrir plus de diversité dans les sujets.,Peut-être
162,3,3,1,Non,Horaires des sessions mal adaptés.,S6,Ajouter des pauses plus longues entre les sessions.,Peut-être
163,5,5,4,Oui,Une conférence inspirante avec des intervenants de qualité.,S1,Prévoir plus de temps pour les questions.,Oui
164,2,2,2,Non,Catering de qualité moyenne.,S4;S3;S6,Proposer des sessions plus interactives.,Peut-être
165,5,5,5,Peut-être,Animations interactives très appréciées.,S5,Faciliter l'accès au lieu de la conférence.,Oui
166,5,2,3,Oui,"Trop de monde, difficile de circuler.",S3;S6,Améliorer les équipements audio-visuels.,Oui
167,4,1,3,Peut-être,Manque de diversité dans les sujets proposés.,S1,Faciliter l'accès au lieu de la conférence.,Non
168,1,2,2,Peut-être,Bon équilibre entre théorie et pratique.,S2;S1;S5,Proposer des sessions plus interactives.,Oui
169,5,4,3,Oui,Catering de qualité moyenne.,S3;S5,Ajouter plus d'ateliers pratiques.,Non
170,2,3,3,Peut-être,"Bonne organisation, sujets pertinents.",S6;S4,Prévoir des salles plus grandes.,Non
171,2,1,3,Oui,"Excellentes sessions, orateurs très compétents.",S6,Faciliter l'accès au lieu de la conférence.,Peut-être
172,2,4,4,Non,Excellente opportunité de networking.,S6;S4;S2,Prévoir plus de temps pour les questions.,Non
173,4,3,3,Peut-être,"Excellentes sessions, orateurs très compétents.",S1;S3;S6,Offrir plus de diversité dans les sujets.,Non
174,5,3,5,Oui,Manque de diversité dans les sujets proposés.,S1;S5;S4,Prévoir plus de temps pour les questions.,Peut-être
175,5,1,1,Oui,Excellente opportunité de networking.,S4,Limiter le nombre de participants.,Peut-être
176,5,5,2,Peut-être,"Excellentes sessions, orateurs très compétents.",S6,Prévoir plus de temps pour les questions.,Non
177,2,2,4,Oui,"Excellentes sessions, orateurs très compétents.",S1,Inclure des sessions en anglais.,Peut-être
178,1,4,3,Peut-être,Bon équilibre entre théorie et pratique.,S2,Prévoir plus de temps pour les questions.,Peut-être
179,2,5,3,Oui,"Bonne organisation, sujets pertinents.",S1,Améliorer les équipements audio-visuels.,Oui
180,3,3,2,Peut-être,Lieu de la conférence difficile d'accès.,S6;S4,Proposer des sessions plus interactives.,Non
181,2,3,1,Non,"Excellentes sessions, orateurs très compétents.",S1;S2,Faciliter l'accès au lieu de la conférence.,Non
182,1,4,5,Oui,Difficultés techniques pendant les présentations.,S1,Proposer des sessions plus interactives.,Peut-être
183,5,5,4,Peut-être,"Les sujets étaient intéressants, mais la salle était trop petite.",S2,Offrir plus de diversité dans les sujets.,Non
184,3,1,5,Non,Sessions trop courtes pour approfondir les sujets.,S1;S2,Faciliter l'accès au lieu de la conférence.,Peut-être
185,3,3,5,Oui,Horaires des sessions mal adaptés.,S2;S1;S5,Améliorer les équipements audio-visuels.,Peut-être
186,1,4,3,Peut-être,Catering de qualité moyenne.,S4;S3;S2,Ajouter des pauses plus longues entre les sessions.,Non
187,2,1,3,Oui,"Excellentes sessions, orateurs très compétents.",S3;S1,Proposer une application mobile pour l'événement.,Oui
188,2,4,1,Non,Ambiance conviviale et professionnelle.,S2,Proposer une application mobile pour l'événement.,Oui
189,3,3,3,Non,Bon équilibre entre théorie et pratique.,S6;S1;S2,Améliorer les équipements audio-visuels.,Oui
190,5,4,1,Peut-être,Catering de qualité moyenne.,S3;S2,Proposer des sessions plus interactives.,Peut-être
191,4,5,5,Non,Ambiance conviviale et professionnelle.,S2,Ajouter plus d'ateliers pratiques.,Non
192,1,5,2,Oui,"Trop de monde, difficile de circuler.",S2;S3,Ajouter plus d'ateliers pratiques.,Oui
193,2,3,5,Oui,Contenu intéressant mais organisation à améliorer.,S2;S4,Ajouter plus d'ateliers pratiques.,Oui
194,2,1,1,Peut-être,Sessions trop courtes pour approfondir les sujets.,S5;S1,Proposer une application mobile pour l'événement.,Oui
195,2,2,2,Non,Excellente opportunité de networking.,S5;S6,Faciliter l'accès au lieu de la conférence.,Non
196,5,1,5,Non,Contenu intéressant mais organisation à améliorer.,S2;S5,Limiter le nombre de participants.,Non
197,3,2,1,Peut-être,Difficultés techniques pendant les présentations.,S4;S6,Faciliter l'accès au lieu de la conférence.,Peut-être
198,5,3,1,Oui,Ambiance conviviale et professionnelle.,S6;S3,Limiter le nombre de participants.,Peut-être
199,1,4,2,Peut-être,Manque de diversité dans les sujets proposés.,S1;S4;S6,Ajouter plus d'ateliers pratiques.,Oui
200,5,4,5,Oui,Intervenants pas assez disponibles pour les questions.,S2;S4,Faciliter l'accès au lieu de la conférence.,Non
